repository,cbo_median,cbo_mean,dit_median,dit_mean,lcom_median,lcom_mean,loc_sum
--,2.0,3.541921483527323,2.0,2.910830538567765,0.0,440.4263168277767,338075
1brc,3.0,3.1666666666666665,1.0,1.09,1.0,7.58,53431
ActionBarSherlock,4.0,6.283372365339578,1.0,1.9508196721311475,0.0,63.39812646370024,26463
ActiveAndroid,3.0,5.435483870967742,1.0,1.7419354838709677,3.0,22.080645161290324,3158
Activiti,4.0,5.8018784854710885,1.0,1.5309656589374816,1.0,89.40710302318756,155575
advanced-java,0.0,0.0,1.0,1.0,0.0,0.0,5
Aegis,5.0,7.447136563876652,1.0,1.7092511013215859,1.0,22.865638766519822,24021
aeron,4.0,7.804878048780488,1.0,1.298780487804878,0.0,114.29649390243902,122349
AgentWeb,3.0,5.3984375,1.0,1.48828125,0.0,18.79296875,11320
agera,4.0,6.327586206896552,1.0,1.2413793103448276,0.0,14.844827586206897,10897
ahbottomnavigation,2.0,5.108695652173913,1.0,1.173913043478261,0.0,57.47826086956522,2339
Algorithms,2.0,2.611231101511879,1.0,1.0539956803455723,3.0,16.19654427645788,32495
algs4,4.0,4.003584229390681,1.0,1.021505376344086,0.0,47.46953405017921,22522
allure2,4.0,6.059479553903346,1.0,1.304832713754647,1.0,11.602230483271375,8061
alluxio,5.0,6.906630245840576,1.0,1.4834864663521232,1.0,30.658803079215296,252449
AmazeFileManager,4.0,7.3047404063205414,1.0,1.4492099322799097,0.0,28.839729119638825,31851
analysis-ik,4.0,4.815789473684211,1.0,1.368421052631579,2.5,14.973684210526315,2502
andOTP,3.0,6.108433734939759,1.0,1.5,0.0,41.41566265060241,8443
AndPermission,3.0,3.994047619047619,1.0,1.1666666666666667,0.0,7.488095238095238,4486
AndResGuard,2.0,3.5303030303030303,1.0,1.5,1.5,22.37878787878788,6506
android-advancedrecyclerview,4.0,6.60506329113924,2.0,2.4075949367088607,0.0,32.02278481012658,20692
android-async-http,4.0,5.662337662337662,1.0,1.7857142857142858,3.0,45.87662337662338,7620
android-autofittextview,4.0,5.375,1.0,1.375,1.5,40.75,470
Android-BluetoothKit,2.0,4.074688796680498,1.0,1.2406639004149378,0.0,18.70124481327801,8347
Android-Bootstrap,3.0,6.962025316455696,1.0,1.6708860759493671,2.0,31.39240506329114,10389
android-classyshark,2.0,3.169811320754717,1.0,1.278301886792453,1.0,10.25,8714
Android-CleanArchitecture,4.0,5.142857142857143,1.0,1.4285714285714286,1.0,6.723809523809524,2260
android-common,3.0,4.4363636363636365,1.0,1.2454545454545454,1.0,43.06363636363636,6707
Android-ConvenientBanner,3.0,4.827586206896552,1.0,1.4482758620689655,1.0,7.793103448275862,848
android-crop,1.0,4.290322580645161,1.0,1.3870967741935485,0.0,26.483870967741936,1676
Android-Debug-Database,4.0,4.147540983606557,1.0,1.278688524590164,0.0,8.80327868852459,2393
android-gif-drawable,4.0,6.15625,1.0,1.65625,0.0,59.734375,2920
android-gpuimage,2.0,2.9607843137254903,2.0,2.156862745098039,0.0,11.300653594771243,6341
android-iconify,3.0,3.511627906976744,1.0,1.2325581395348837,1.0,5.186046511627907,909
Android-Image-Cropper,4.0,7.725,1.0,1.375,0.0,70.375,4655
Android-IMSI-Catcher-Detector,3.0,5.059760956175299,1.0,1.3306772908366533,0.0,4.964143426294821,12171
android-interview-questions,0.0,0.0,1.0,1.0,0.0,0.0,5
android-job,4.0,6.994708994708994,1.0,1.7671957671957672,1.0,32.00529100529101,10693
android-lifecycle,7.5,7.0,2.0,1.6666666666666667,190.0,151.66666666666666,481
android-mvp-architecture,3.0,5.815068493150685,1.0,1.3835616438356164,0.0,14.10958904109589,4049
Android-ObservableScrollView,3.0,5.014925373134329,2.0,1.9671641791044776,0.0,7.570149253731343,12621
Android-PickerView,2.0,3.7252747252747254,1.0,1.1538461538461537,0.0,15.494505494505495,4421
Android-PullToRefresh,4.5,6.024390243902439,2.0,2.1097560975609757,1.0,55.84146341463415,3567
Android-skin-support,5.0,6.079012345679012,1.0,1.3925925925925926,1.0,17.671604938271606,19377
Android-SpinKit,5.0,4.816901408450704,2.0,3.1690140845070425,1.0,21.52112676056338,1812
android-times-square,4.0,4.553191489361702,1.0,1.2340425531914894,0.0,25.872340425531913,2286
android-tips-tricks,1.0,1.0,1.0,1.0,0.0,0.0,22
Android-Touch-Helper,3.0,4.127272727272727,1.0,1.1818181818181819,0.0,1.9454545454545455,2257
android-Ultra-Pull-To-Refresh,2.0,4.055900621118012,1.0,1.4161490683229814,0.0,19.142857142857142,5476
Android-Universal-Image-Loader,3.0,4.864285714285714,1.0,1.5857142857142856,0.5,28.84285714285714,7434
android-volley,3.0,5.090909090909091,1.0,1.893939393939394,0.0,15.818181818181818,4965
Android-ZBLibrary,3.0,5.377358490566038,1.0,1.559748427672956,0.0,26.666666666666668,14727
android-zxingLibrary,3.0,4.711538461538462,1.0,1.3269230769230769,0.0,5.634615384615385,2018
androidannotations,4.0,5.95742471443406,1.0,1.6832814122533748,1.0,26.09865005192108,28800
AndroidAsync,2.0,3.613259668508287,1.0,1.5322283609576428,0.0,19.44014732965009,18086
AndroidAutoLayout,5.0,5.833333333333333,2.0,2.0,8.0,8.807692307692308,2370
AndroidAutoSize,4.0,5.408163265306122,1.0,1.4081632653061225,1.0,31.285714285714285,1720
android,4.0,9.320158102766799,1.0,1.6877470355731226,1.0,114.0909090909091,46750
AndroidHttpCapture,3.0,4.712933753943218,1.0,1.416403785488959,0.0,37.003154574132495,15900
AndroidImageSlider,2.0,4.063492063492063,1.0,1.5714285714285714,1.0,59.095238095238095,3813
androidmvp,2.0,3.2857142857142856,1.0,1.2857142857142858,0.0,3.0,274
AndroidNote,1.0,4.875,1.0,1.375,3.0,8.125,402
AndroidPdfViewer,1.0,4.947368421052632,1.0,1.2456140350877194,0.0,76.78947368421052,3328
AndroidPerformanceMonitor,3.0,4.074074074074074,1.0,1.2777777777777777,0.0,14.074074074074074,2234
AndroidPicker,3.0,5.435146443514644,1.0,1.6443514644351465,0.0,51.71548117154812,13541
AndroidProject,4.0,7.215083798882682,1.0,2.142458100558659,1.0,19.18435754189944,20468
AndroidSlidingUpPanel,2.0,4.9411764705882355,1.0,1.3529411764705883,0.0,132.0,2011
AndroidStaggeredGrid,3.0,5.861111111111111,1.5,1.8611111111111112,0.5,155.88888888888889,4010
AndroidSwipeLayout,2.0,3.7162162162162162,1.0,1.3243243243243243,0.0,58.9054054054054,2770
AndroidTutorialForBeginners,4.0,4.511627906976744,1.0,1.496124031007752,0.0,2.744186046511628,3957
AndroidUtilCode,2.0,4.16865671641791,1.0,1.364179104477612,0.0,144.95373134328358,39995
AndroidVideoCache,3.0,4.8311688311688314,1.0,1.4935064935064934,1.0,14.324675324675324,3217
AndroidViewAnimations,2.0,3.3780487804878048,2.0,1.8048780487804879,0.0,2.292682926829268,965
AndroidWiFiADB,2.0,2.8666666666666667,1.0,1.5,0.0,12.133333333333333,1096
Android_Data,2.0,2.0,1.0,1.0,3.0,3.0,116
AndroRAT,2.0,2.8727272727272726,1.0,1.1636363636363636,0.0,1.3818181818181818,1793
AndServer,3.0,5.0233644859813085,1.0,1.5420560747663552,1.0,48.05140186915888,12029
angel,5.0,7.424815983175605,2.0,1.7392218717139853,0.0,63.41955835962145,205066
ansj_seg,4.0,6.31651376146789,1.0,1.188073394495413,0.0,9.577981651376147,12130
Ant-Media-Server,2.0,5.713804713804714,1.0,1.3257575757575757,1.0,183.58838383838383,107293
AntennaPod,5.0,7.424354243542435,1.0,1.4858548585485856,1.0,21.51537515375154,51594
antlr4,3.0,5.7734138972809665,1.0,1.8353474320241692,0.0,48.30211480362538,41027
api-samples,7.0,6.404761904761905,1.0,1.0,0.0,4.380952380952381,2541
APIJSON,3.0,5.885714285714286,1.0,1.2428571428571429,6.0,1165.5714285714287,13844
Apktool,5.0,5.906593406593407,2.0,1.9175824175824177,1.0,51.0,12392
apollo,6.0,7.26729986431479,1.0,1.2645861601085482,0.0,14.985074626865671,33499
AppManager,5.0,7.916558861578267,1.0,1.4851228978007762,1.0,74.31694695989651,125215
Arduino,2.0,4.131111111111111,1.0,1.768888888888889,0.0,32.72222222222222,25793
armeria,5.0,6.451869158878504,1.0,1.3222741433021807,0.0,33.455607476635514,295711
ARouter,2.0,3.693877551020408,1.0,1.4081632653061225,0.0,17.448979591836736,3165
arthas,3.0,4.734243697478991,1.0,1.35609243697479,1.0,36.48739495798319,47711
ASimpleCache,2.0,4.448275862068965,1.0,1.4482758620689655,0.0,38.51724137931034,1993
async-http-client,4.0,5.776429809358752,1.0,1.5667244367417679,1.0,41.60831889081456,29335
atlas,4.0,5.638559708295351,1.0,1.4357338195077485,1.0,29.88422971741112,157514
atmosphere,3.0,5.496626180836707,1.0,1.3076923076923077,1.0,55.02564102564103,36660
aurora-imui,2.5,4.807017543859649,1.0,1.5292397660818713,0.0,50.26900584795322,17789
aurora,6.0,7.287625418060201,1.0,1.117056856187291,0.0,7.25752508361204,4956
austin,5.0,6.2298850574712645,1.0,1.1235632183908046,0.0,1.4511494252873562,6538
auto,3.0,4.114135206321334,1.0,1.7058823529411764,1.0,25.593503072870938,31941
AutoJs6,3.0,5.149886877828054,1.0,1.4649321266968325,1.0,37.23359728506787,111419
automq,4.0,7.189130670130995,1.0,1.4009959943704666,0.0,45.36126447980946,668967
aviatorscript,3.0,4.635496183206107,1.0,1.498091603053435,1.0,60.982824427480914,37362
AVLoadingIndicatorView,2.0,3.5652173913043477,1.0,1.7826086956521738,0.0,6.75,2161
awaitility,1.0,3.176470588235294,1.0,1.1941176470588235,0.0,18.58235294117647,5473
awesome-java-leetcode,2.0,1.6805555555555556,1.0,1.0,1.0,1.1666666666666667,1772
awesome-leetcode-resources,1.0,1.1818181818181819,1.0,1.0,0.0,4.7272727272727275,360
awesome-low-level-design,2.0,2.628787878787879,1.0,1.1388888888888888,0.0,3.051767676767677,14591
awesome-system-design-resources,1.0,0.8181818181818182,1.0,1.0,0.0,0.0,336
aws-doc-sdk-examples,5.0,7.039450089659295,1.0,1.0400478182904962,1.0,6.187089061566049,81846
aws-sdk-java,6.0,6.996019496822065,1.0,1.2052869548856708,1.0,123.24976628507929,8601503
azkaban,4.0,6.472330475448168,1.0,1.3522992985190958,1.0,35.84021823850351,93837
BackgroundLibrary,4.0,4.7899159663865545,1.0,1.2100840336134453,0.0,34.1764705882353,8029
BadgeView,2.0,4.3428571428571425,1.0,1.3142857142857143,0.0,49.885714285714286,1759
banner,5.0,6.082191780821918,2.0,1.8356164383561644,1.0,47.68493150684932,2724
BannerViewPager,3.0,5.410958904109589,1.0,1.4109589041095891,0.0,47.821917808219176,3154
barcodescanner,2.0,5.287671232876712,1.0,1.643835616438356,0.0,11.821917808219178,2796
baritone,4.0,6.6976744186046515,1.0,1.386892177589852,1.0,21.77167019027484,22297
baseAdapter,3.0,4.88,1.0,1.32,0.0,18.28,1563
BasePopup,3.0,5.887323943661972,1.0,1.6954225352112675,1.0,34.29401408450704,28287
bazel,5.0,7.536781932339987,1.0,1.622622059788211,1.0,67.98744260144316,588138
beam,5.0,7.414423314398617,1.0,1.5333415658187206,0.0,19.61323783650284,726258
BGABanner-Android,3.0,5.0,2.0,1.5849056603773586,1.0,26.28301886792453,2123
BGARefreshLayout-Android,3.0,5.148148148148148,1.0,1.4074074074074074,1.0,9.796296296296296,5450
BigData-Notes,5.0,5.714285714285714,1.0,1.2207792207792207,0.0,0.8181818181818182,2124
BigImageViewer,3.0,4.607142857142857,1.0,1.2857142857142858,1.0,12.80952380952381,2513
bilibili-android-client,3.0,4.92128801431127,1.0,1.8175313059033988,3.0,42.7906976744186,38892
BilibiliDown,2.0,4.206106870229007,1.0,1.7213740458015268,1.0,42.01908396946565,19838
bisq,4.0,7.512347354138399,1.0,1.7668928086838536,0.0,30.239620081411125,177912
bistoury,3.0,4.837619397501837,1.0,1.2792064658339457,1.0,21.41587068332109,73638
bitcoin-wallet,4.0,7.532299741602067,1.0,1.7131782945736433,0.0,5.41343669250646,18379
bitcoinj,4.0,7.163723916532906,1.0,1.7303370786516854,0.0,89.23595505617978,46026
blade,3.0,4.62214983713355,1.0,1.234527687296417,0.0,42.156351791530945,15319
blog_demos,3.0,4.019241341396372,1.0,1.199010445299615,0.0,15.14238592633315,51987
blurkit-android,5.0,6.1,1.0,1.5,0.0,30.3,497
Blurry,3.5,5.142857142857143,1.0,1.0,0.0,0.6428571428571429,636
BlurView,3.5,5.9,1.0,1.5,1.0,7.0,930
Bolts-Android,2.0,3.0,1.0,1.0886075949367089,0.0,19.0126582278481,5144
booklore,5.0,7.883185840707965,1.0,1.038938053097345,0.0,8.684955752212389,19557
BookReader,2.0,4.798283261802575,1.0,1.4377682403433476,0.0,25.32331902718169,30914
BoomMenu,4.0,5.6347826086956525,1.0,1.5739130434782609,0.0,227.6695652173913,7710
BottomBar,2.0,4.909090909090909,1.0,1.2878787878787878,0.0,61.666666666666664,2834
BottomNavigation,5.5,7.533333333333333,1.0,1.4333333333333333,4.5,69.26666666666667,2091
bottomsheet,3.0,4.897058823529412,1.0,1.3676470588235294,0.0,27.66176470588235,2578
btrace,4.0,4.912760416666667,1.0,1.3033854166666667,0.0,92.54427083333333,40986
bundletool,7.0,9.699885452462771,1.0,1.268041237113402,6.0,82.60366552119129,54318
butterknife,2.0,3.9595588235294117,1.0,1.2352941176470589,0.0,10.481617647058824,7712
byte-buddy,4.0,6.147154471544716,1.0,1.6159349593495935,0.0,14.865528455284553,286228
bytecode-viewer,3.0,4.736714975845411,1.0,2.0531400966183573,0.0,13.68840579710145,21761
ByteLegend,7.0,6.979661016949152,1.0,1.0033898305084745,20.0,727.8440677966101,104032
caffeine,3.0,4.904191616766467,1.0,1.5875748502994012,0.0,163.1691616766467,85095
calcite,5.0,7.6589943342776206,1.0,1.7037889518413598,1.0,381.65120396600565,366879
CalendarView,4.0,6.568181818181818,1.0,2.159090909090909,3.0,53.18181818181818,11557
Calligraphy,5.0,5.72,1.0,1.44,3.0,11.36,968
camel,3.0,4.830212355212355,1.0,1.6343146718146717,1.0,79.76049710424711,1854629
CameraView,3.0,4.833333333333333,1.0,1.2638888888888888,0.0,12.125,2983
campus-imaotai,5.0,6.339449541284404,1.0,1.4128440366972477,1.0,20.376146788990827,7728
camunda-bpm-platform,4.0,6.279280966201666,1.0,1.6484411571950193,1.0,86.35624005242954,543235
camunda,5.0,7.225329280648429,1.0,1.3987166497804795,1.0,28.671800067544748,614547
canal,4.0,5.814108674928503,1.0,1.3803622497616779,1.0,77.35653002859867,112590
cardslib,4.0,5.901356350184956,1.0,2.177558569667078,0.0,18.620221948212084,32257
cas,8.0,9.2413217623498,1.0,1.4969959946595461,0.0,7.8117489986648865,228318
cassandra,5.0,6.828107680126682,1.0,1.7695961995249405,1.0,59.0624703087886,742599
cat,4.0,5.527484143763213,1.0,1.43446088794926,1.0,23.035940803382665,98001
CC,4.0,4.966666666666667,1.0,1.2583333333333333,0.0,16.316666666666666,4599
cglib,1.0,3.216867469879518,1.0,1.5321285140562249,0.0,261.7971887550201,17670
Chat2DB,4.0,6.086124401913875,1.0,1.2660287081339714,0.0,16.489952153110046,35180
ChatKit,3.0,5.768518518518518,2.0,2.8981481481481484,0.0,35.48148148148148,4680
chuck,4.0,5.833333333333333,1.0,1.380952380952381,0.5,55.73809523809524,1698
chunjun,4.0,7.139874739039666,1.0,1.5652400835073068,1.0,20.836116910229645,104308
cim,4.0,4.881188118811881,1.0,1.2821782178217822,0.0,5.737623762376238,5622
CircleImageView,5.0,11.0,2.0,2.3333333333333335,0.0,178.66666666666666,360
CircleIndicator,5.0,6.511111111111111,2.0,1.6222222222222222,1.0,8.511111111111111,1712
CircleProgress,6.0,5.76,2.0,1.68,1.0,85.76,1451
circular-progress-button,2.0,3.9743589743589745,1.0,1.2820512820512822,0.0,25.333333333333332,1429
clojure,0.0,3.6030534351145036,1.0,1.495092693565976,0.0,130.39149400218102,46876
closure-compiler,5.0,6.8538948937756246,1.0,1.509877003354454,1.0,1272.3276183376818,308032
CloudReader,3.0,4.75,1.0,1.4552845528455285,0.0,19.41260162601626,19393
COLA,3.0,4.3291592128801435,1.0,1.3273703041144902,0.0,4.974955277280858,9619
CompreFace,6.0,7.852852852852853,1.0,1.6576576576576576,0.0,3.894894894894895,7766
conductor,3.0,5.476744186046512,1.0,1.3488372093023255,0.0,71.33720930232558,5385
config,3.0,5.475,1.0,2.055,0.0,76.18,13186
CoordinatorTabLayout,3.0,5.294117647058823,1.0,1.411764705882353,0.0,9.411764705882353,473
CoreNLP,4.0,5.922648083623693,1.0,1.6499419279907084,0.0,148.57862950058072,557599
coursera-android,4.0,4.248355263157895,1.0,1.5,0.0,3.3585526315789473,18164
crate,5.0,7.571673933148368,1.0,1.641035803937112,1.0,48.46360153256705,438445
crawler4j,4.0,5.27710843373494,1.0,1.3132530120481927,1.0,55.89156626506024,4736
Create,9.0,10.77972166998012,2.0,1.8190854870775348,3.0,27.875944333996024,149921
cryptomator,6.0,8.316027088036117,1.0,1.4288939051918736,1.0,18.51241534988713,17289
CtCI-6th-Edition,2.0,2.12807881773399,1.0,1.0689655172413792,1.0,4.482758620689655,21093
ctci,2.0,1.9581993569131833,1.0,1.1189710610932475,1.0,5.096463022508039,11244
CustomActivityOnCrash,4.0,5.4,1.0,1.3333333333333333,0.0,32.333333333333336,893
cw-omnibus,4.0,5.268004115226337,2.0,1.6851851851851851,0.0,20.0761316872428,71119
cyberduck,4.0,6.462982689747004,1.0,1.3532623169107856,0.0,65.48255659121172,297593
dagger,3.0,3.1748768472906406,1.0,1.229064039408867,0.0,5.987684729064039,8043
DanmakuFlameMaster,3.0,5.162790697674419,1.0,1.6104651162790697,1.0,47.50581395348837,12879
dataease,3.0,4.96875,1.0,1.2053571428571428,0.0,27.738392857142856,43245
datahub,9.0,11.414055369637968,1.0,1.2129601460298145,1.0,17.226041983571648,186616
DataMiningAlgorithm,2.0,2.2936507936507935,1.0,1.0873015873015872,0.0,9.96031746031746,11663
datax-web,3.0,5.041009463722397,1.0,1.38801261829653,0.0,13.239747634069401,13801
DataX,3.0,4.502454991816694,1.0,1.7152209492635024,0.0,22.648936170212767,81194
db-tutorial,4.0,5.205741626794258,1.0,1.1818181818181819,0.0,32.60765550239235,11203
dddsample-core,5.0,7.089171974522293,1.0,1.127388535031847,0.0,7.031847133757962,4639
debezium,4.0,6.819555555555556,1.0,1.5842962962962963,1.0,55.30785185185185,209200
deeplearning4j,7.0,8.43676133356853,2.0,2.1898041982713,7.0,54799.52337272888,558237
DeepLinkDispatch,5.0,6.28,1.0,1.48,0.0,88.64,8549
DependencyCheck,5.0,7.058943089430894,2.0,1.8678861788617886,3.0,60.08943089430894,41235
Depth-LIB-Android-,2.0,3.787037037037037,1.0,1.212962962962963,0.0,13.351851851851851,3771
DesignPattern,2.0,2.5380710659898478,1.0,1.2791878172588833,0.0,1.4263959390862944,2603
dex2jar,3.0,5.42907180385289,1.0,1.5709281961471104,0.0,21.13309982486865,41715
dexposed,2.0,2.9166666666666665,1.0,1.6944444444444444,0.0,82.83333333333333,2414
Dexter,3.0,4.425,1.0,1.2,0.0,4.15,2197
dialogplus,3.0,5.241379310344827,1.0,1.0344827586206897,0.0,57.86206896551724,1047
Digital,4.0,5.047881122729774,1.0,1.6835443037974684,0.0,13.246009906439186,76080
disconf,3.0,4.437647058823529,1.0,1.3576470588235294,0.0,12.616470588235295,14009
Discovery,4.0,4.778985507246377,1.0,1.2693236714975846,1.0,18.80072463768116,26230
DiscreteScrollView,2.0,4.228571428571429,1.0,1.2476190476190476,0.0,19.114285714285714,3698
DiskLruCache,2.5,3.25,1.0,1.3333333333333333,3.0,11.0,1937
disruptor,3.0,4.480487804878049,1.0,1.2902439024390244,0.0,25.882926829268293,13167
djl,5.0,6.518318318318318,1.0,1.4654654654654655,3.0,132.77777777777777,96272
DKVideoPlayer,2.0,5.326259946949602,1.0,1.5915119363395225,0.0,46.753315649867375,18446
DoKit,2.0,4.506054811982154,1.0,1.3205863607393244,0.0,71.76673040152964,80480
dolby_beta,4.0,4.145945945945946,1.0,1.454054054054054,1.0,7.951351351351351,7302
dolphinscheduler,5.0,6.532176428054953,1.0,1.378524945770065,0.0,11.4765003615329,97324
Douya,4.0,5.603697749196141,1.0,1.6254019292604502,1.0,28.39790996784566,44643
DroidPlugin,2.0,3.301526717557252,3.0,4.388040712468193,0.0,3.699745547073791,22301
dropwizard,4.0,5.954941860465116,1.0,1.5130813953488371,0.0,19.177325581395348,39901
druid,5.0,7.858084920261086,1.0,1.377498149518875,1.0,62.19312293923693,762531
DSA-Bootcamp-Java,1.0,1.2687747035573123,1.0,1.08300395256917,1.0,3.5019762845849804,6614
DSBridge-Android,2.0,2.978723404255319,1.0,1.1063829787234043,0.0,15.97872340425532,1841
dubbo-spring-boot-project,6.0,7.112359550561798,1.0,1.1685393258426966,0.0,11.932584269662922,1908
dubbo,4.0,5.418808649530804,1.0,1.2880456956344348,1.0,46.10709914320685,250867
dynamic-datasource,4.0,5.112359550561798,1.0,1.1404494382022472,0.0,2.359550561797753,5290
dynamic-load-apk,3.0,5.806451612903226,1.0,1.4516129032258065,0.0,9.419354838709678,2620
dynamic-tp,4.0,4.842756183745583,1.0,1.2897526501766785,0.0,17.742049469964666,18457
easy-rules,4.0,5.092592592592593,1.0,1.3148148148148149,1.0,7.62962962962963,4857
easyexcel,5.0,6.632142857142857,1.0,1.375,1.0,32.025,20545
easypermissions,8.0,8.93939393939394,1.0,1.4848484848484849,6.0,12.212121212121213,1705
EdXposed,4.0,6.065217391304348,1.0,1.6032608695652173,1.0,191.0782608695652,71794
effective-java-3e-source-code,1.0,1.1287128712871286,1.0,1.188118811881188,0.0,1.3267326732673268,3018
EffectiveAndroidUI,3.0,4.438356164383562,1.0,1.3424657534246576,1.0,11.616438356164384,1923
EhViewer,4.0,7.144758735440932,1.0,1.821963394342762,1.0,45.26289517470882,44372
Ehviewer_CN_SXJ,4.0,6.880219780219781,1.0,1.7164835164835164,1.0,68.47912087912088,74626
eladmin,5.0,8.01418439716312,1.0,1.1631205673758864,0.0,6.202127659574468,8063
elasticsearch-sql,6.0,9.601449275362318,1.0,2.0833333333333335,1.0,190.19927536231884,32893
enso,5.0,6.392133492252682,1.0,1.6936829558998807,1.0,36.02502979737783,115655
epic,3.0,3.228187919463087,1.0,1.6241610738255035,1.0,30.395973154362416,5127
epoxy,5.0,7.19672131147541,2.0,1.8131147540983608,1.0,138.77377049180328,43286
error-prone,5.0,7.851816443594647,1.0,1.534416826003824,0.0,25.501912045889103,107952
esProc,5.0,6.6815094339622645,2.0,2.170566037735849,1.0,97.73169811320754,426797
eureka,4.0,5.884097035040432,1.0,1.2708894878706198,0.0,18.57277628032345,32879
EventBus,3.0,3.4262295081967213,1.0,1.8360655737704918,0.0,9.05464480874317,5269
ExoPlayer,5.0,7.587930508991161,1.0,1.295032002438281,0.0,52.220054861322765,262348
ExpandableTextView,4.0,5.133333333333334,1.0,1.7333333333333334,0.0,11.8,552
failsafe,6.0,6.38655462184874,1.0,2.063025210084034,1.0,19.176470588235293,10026
FairEmail,2.0,4.72703721149317,1.0,1.270843146490815,0.0,33.46184644371173,243296
Fast-Android-Networking,2.0,3.219130434782609,1.0,1.2504347826086957,1.0,13.768695652173912,19596
FastBle,2.0,4.380952380952381,1.0,1.2952380952380953,0.0,26.066666666666666,4713
fastexcel,5.0,6.453808752025932,1.0,1.353322528363047,1.0,29.92868719611021,21857
FastHub,5.0,8.07387580299786,1.0,1.4379014989293362,1.0,34.75695931477516,40321
fastjson2,2.0,2.643889064641991,1.0,1.1854898238953917,0.0,284.1544869766951,411923
fastjson,1.0,1.8523786944839575,1.0,1.5043464517148728,0.0,126.12122648964754,206496
feign,3.0,5.135525260625501,1.0,1.6824378508420208,0.0,13.266238973536488,37446
fernflower,1.0,4.422636103151863,1.0,1.2277936962750717,0.0,37.56590257879656,55187
FileDownloader,2.0,4.5278810408921935,1.0,1.687732342007435,1.0,42.014869888475836,14387
FirebaseUI-Android,7.0,9.788732394366198,1.0,1.9577464788732395,1.0,12.338028169014084,13274
FizzBuzzEnterpriseEdition,2.0,2.901098901098901,1.0,1.0,0.0,0.23076923076923078,894
FlatLaf,2.0,3.809692671394799,2.0,3.6773049645390072,3.0,64.72222222222223,73406
flink-cdc,5.0,8.288144603934077,1.0,1.4614566719829878,1.0,30.014354066985646,114599
flink-learning,3.0,4.280405405405405,1.0,1.1300675675675675,0.0,3.300675675675676,14454
flink-recommandSystem-demo,3.0,3.727272727272727,1.0,1.077922077922078,1.0,6.402597402597403,1835
FloatingActionButton,3.0,5.666666666666667,2.0,1.8148148148148149,1.0,37.592592592592595,1014
FloatWindow,2.0,3.772727272727273,1.0,1.2727272727272727,1.0,9.727272727272727,1473
flowable-engine,4.0,6.611049107142857,1.0,1.6669642857142857,1.0,152.08258928571428,520796
FlowLayout,3.0,4.323529411764706,1.0,1.411764705882353,0.0,5.0,810
flutter-webrtc,3.0,6.595505617977528,1.0,1.2247191011235956,0.0,37.07865168539326,8105
FlycoTabLayout,3.0,6.454545454545454,1.0,1.5454545454545454,1.0,223.0909090909091,2730
flyway,4.0,5.928969359331476,1.0,1.5125348189415042,1.0,52.28412256267409,30756
folding-cell-android,2.0,4.142857142857143,1.0,1.3333333333333333,0.0,13.380952380952381,812
ForestBlog,3.0,5.104651162790698,1.0,1.069767441860465,0.0,12.686046511627907,2437
Fragmentation,3.0,5.232394366197183,1.0,1.7077464788732395,0.0,15.116197183098592,8981
freeline,3.0,3.8,1.0,1.6074074074074074,1.0,13.866666666666667,5357
fresco,5.0,6.642654028436019,1.0,1.4180094786729858,0.0,28.76208530805687,50418
from-java-to-kotlin,0.5,0.5,1.0,1.0,0.0,0.0,37
frontend-maven-plugin,3.0,5.595959595959596,1.0,1.7272727272727273,1.0,7.05050505050505,3717
Gadgetbridge,3.0,5.379522184300341,2.0,1.8339021615472126,0.0,38.69419795221843,242946
GCViewer,4.0,5.274914089347079,1.0,2.1649484536082473,1.0,49.044673539518904,20453
GDA-android-reversing-Tool,2.5,2.5625,1.0,1.0,0.0,57.375,567
generator,5.0,7.809006211180124,2.0,1.9596273291925466,3.0,88.08540372670808,68036
